# Project C: The Clouds — Resources Database
# Generated by Tools → ProjectC → Resources → CSV Import/Export
# This file is the source of truth. .asset files are GENERATED from it.

# block=inventory
itemName,itemType,description,maxStack,weightKg
,Resources,,1,0.1
16mm Film Camera,Equipment,Ручной завод. Для хроники НП.,5,0.5
Absorbent Cotton,Medical,100 г. В бумажной пачке.,10,0.1
Absorption Refrigerator,Equipment,Нагревательный элемент + аммиак. 50 л.,5,0.5
Academic Frock Coat,Equipment,Удлинённый сюртук с кожаными налокотниками. Носится инженерами ГСз.,5,0.5
Acoustic Felt,Resources,Звукоизоляция машинного отделения.,50,1.0
Activated Charcoal,Medical,При отравлении. 50 таблеток.,20,1.0
Adjustable Wrench,Equipment,Регулируемый зев до 30 мм.,5,0.5
AG-Lead Battery 12V 100Ah,Tech,Для запуска МАГ и аварийного питания.,5,0.5
Air Compressor,Equipment,Для накачки шин и пневматики.,5,0.5
Air Hose,Equipment,"Резиновый, 20 м. Соединители ½ дюйма.",5,0.5
Air Propeller,Equipment,Деревянный. Для малых судов.,5,0.5
Airfield Worker Coveralls,Food,Синий комбинезон из плотной хлопковой саржи. Нашивка с номером бригады.,10,0.3
Alcohol Antiseptic,Medical,Флакон 100 мл. Для обработки ран.,10,0.1
Ale Farmer's Way,Food,"Верховое брожение. Мутный, с фруктовыми нотами.",10,0.3
Altitude and Wind Tables,Equipment,Книжка-справочник пилота.,5,0.5
Altitude Sickness Tablets,Medical,Ацетазоламид. Облегчение симптомов.,10,0.1
Aluminum Canister 10L,Equipment,Для воды.,5,0.5
Aluminum Stringer,Equipment,Продольный элемент каркаса.,5,0.5
Ambu Bag,Equipment,Ручной дыхательный аппарат.,5,0.5
Ammeter,Tech,Постоянный ток до 50 А. Лабораторный класс.,5,0.5
Ammo .44 GT Magnum,Tech,Усиленный патрон для револьверов. Разрывная пуля.,5,0.5
Ammo 12ga Buckshot,Equipment,Для дробовиков. 9 крупных картечин.,5,0.5
Ammo 7.62x54R,Equipment,"Для винтовки ГС-1. Стальная гильза, оболочечная пуля.",5,0.5
Ammo 9x19 GS-Standard,Equipment,Унитарный патрон с латунной гильзой. 115 гран.,5,0.5
Ammonia Solution,Equipment,Для приведения в чувство.,5,0.5
Analgesic Ointment,Medical,Согревающая. Для суставов и мышц.,10,0.1
Anchor Light,Tech,С красным и зелёным секторами.,5,0.5
Anti-Corrosion Enamel Paint,Resources,Для окраски корпусов в цеховых цветах НП.,50,1.0
Anti-Mezium Serum,Meziy,Флакон 10 мл. При контакте с кожей.,10,0.5
Antibacterial Bandage,Medical,Набор: 20 полосок разного размера.,10,0.1
Antigrav,Antigrav,"Металл, обладающий антигравитационными свойствами. Попал на Землю в 1930 году с метеоритами. Подвергается обработке, может становиться источником мощного антигравитационного поля. Основа всех летательных аппаратов",20,1.0
Antigrav Brass AGL-8,Antigrav,Декоративный сплав с золотистым оттенком. Для гильзовых гильз и наградных знаков.,20,1.0
Antigrav Bronze AGB-12,Antigrav,Сплав с добавлением олова. Коррозионно-стойкий. Для электрических контактов МАГ.,20,1.0
Antigrav Cable,Antigrav,"Трос из сплавов антигравия для швартовки, буксировки и такелажных работ на летательных аппаратах",10,0.5
Antigrav Chips,Antigrav,Отходы механической обработки. Собирается и переплавляется. Ценится кустарными мастерами.,20,1.0
Antigrav Concrete,Antigrav,Лёгкий наполнитель с добавлением крошки АГ-3. Для плавучих платформ.,10,0.5
Antigrav Grenade,Equipment,Antigravitational grenade. g-wave destabilizes targets. Partially ignores armor.,1,0.1
Antigrav Steel AGS-40,Antigrav,"Сплав антигравия с высокоуглеродистой сталью. Прочный, поле слабое. Для крепежа и бронепластин.",20,1.0
Antihistamine,Medical,Таблетки от аллергии. 10 шт.,10,0.1
Apple Jam,Food,"Густой, тёмного цвета. Стеклянная банка 400 г.",10,0.3
Archive Book,Equipment,"Редкая печатная книга из архивов, содержащая уникальную информацию",5,0.5
Archive File (Empty),Food,С номером и полкой хранения.,10,0.3
Archive Label,Food,Наклейка с номером дела.,10,0.3
Archive Shelf,Equipment,"Металлический, сборный. 5 полок.",5,0.5
Armband,Equipment,"Тканевая нашивка, обозначающая должность или смену.",5,0.5
Army Canteen 1L,Equipment,"Алюминиевая, с чехлом.",5,0.5
Army Hardtack,Food,Твёрдые сухари. Долгий срок хранения. Входит в НЗ каждого парома.,10,0.3
Asbestos Sheet,Tech,Термоизоляция парогенераторов.,20,1.0
Asian-Style Rice,Food,С овощами и соевым соусом. Из южных угодий.,10,0.3
Assault Breeches,Equipment,Зауженные к колену брюки для влезания в узкие отсеки.,5,0.5
Assault Machete,Equipment,Тяжёлый нож с пилой на обухе. Для аварийных работ.,5,0.5
Automatic Center Punch,Equipment,С пружинным механизмом. Для разметки отверстий.,5,0.5
