questId,displayName,description,faction,oneShot,prereqQuest,stageNum,stageId,stageDescription,onEnterActions,objectiveType,objectiveId,itemName,npcId,npcDisplayName,npcFaction,qty,onCompleteActions,rewardCR,rewardRep,rewardItems
q_002_0,Мистер Фринли: Срочный заказ,Мистер Фринли ищет надёжного курьера для Гильдия Успеха,GuildOfSuccess,y,,0,talk_0_0,Встретьтесь с Мистер Фринли для получения указаний,,TalkToNpc,obj_q_002_0_s0,,npc_002,Мистер Фринли,GuildOfSuccess,1,,,,
q_002_0,Мистер Фринли: Срочный заказ,Мистер Фринли ищет надёжного курьера для Гильдия Успеха,GuildOfSuccess,y,,1,gather_0_1,Найдите Letter of Thanks в количестве 4 шт.,,HaveItem,obj_q_002_0_s1,Letter of Thanks,npc_002,Мистер Фринли,GuildOfSuccess,4,,,,
q_002_0,Мистер Фринли: Срочный заказ,Мистер Фринли ищет надёжного курьера для Гильдия Успеха,GuildOfSuccess,y,,2,gather_0_2,Найдите Silver Cigarette Case в количестве 5 шт.,,HaveItem,obj_q_002_0_s2,Silver Cigarette Case,npc_002,Мистер Фринли,GuildOfSuccess,5,,,,
q_002_0,Мистер Фринли: Срочный заказ,Мистер Фринли ищет надёжного курьера для Гильдия Успеха,GuildOfSuccess,y,,3,gather_0_3,Принесите Port Access Token в количестве 5,,HaveItem,obj_q_002_0_s3,Port Access Token,npc_002,Мистер Фринли,GuildOfSuccess,5,,,,
q_002_0,Мистер Фринли: Срочный заказ,Мистер Фринли ищет надёжного курьера для Гильдия Успеха,GuildOfSuccess,y,,4,talk_0_4,Поговорите с Мистер Фринли,,TalkToNpc,obj_q_002_0_s4,,npc_002,Мистер Фринли,GuildOfSuccess,1,,,,
q_002_0,Мистер Фринли: Срочный заказ,Мистер Фринли ищет надёжного курьера для Гильдия Успеха,GuildOfSuccess,y,,5,gather_0_5,Добудьте Steel Cable 6mm — требуется 4 шт.,,HaveItem,obj_q_002_0_s5,Steel Cable 6mm,npc_002,Мистер Фринли,GuildOfSuccess,4,,,,
q_002_0,Мистер Фринли: Срочный заказ,Мистер Фринли ищет надёжного курьера для Гильдия Успеха,GuildOfSuccess,y,,6,talk_0_6,Поговорите с Миссис Дюран,,TalkToNpc,obj_q_002_0_s6,,npc_024,Миссис Дюран,GuildOfSuccess,1,,,,
q_002_0,Мистер Фринли: Срочный заказ,Мистер Фринли ищет надёжного курьера для Гильдия Успеха,GuildOfSuccess,y,,7,talk_0_7,Поговорите с Ли-Шон (Ли) Куорл,,TalkToNpc,obj_q_002_0_s7,,npc_090,Ли-Шон (Ли) Куорл,GuildOfSuccess,1,,,,
q_002_0,Мистер Фринли: Срочный заказ,Мистер Фринли ищет надёжного курьера для Гильдия Успеха,GuildOfSuccess,y,,8,gather_0_8,Найдите Skol 25 (Gold-Silver) в количестве 4 шт.,,HaveItem,obj_q_002_0_s8,Skol 25 (Gold-Silver),npc_002,Мистер Фринли,GuildOfSuccess,4,,,,
q_002_0,Мистер Фринли: Срочный заказ,Мистер Фринли ищет надёжного курьера для Гильдия Успеха,GuildOfSuccess,y,,9,talk_0_9,Встретьтесь с Мистер Фринли для получения указаний,,TalkToNpc,obj_q_002_0_s9,,npc_002,Мистер Фринли,GuildOfSuccess,1,GiveCredits::75;AddReputation::50:GuildOfSuccess;GiveItem:Port Access Token::1,75,GuildOfSuccess:50,Port Access Token:1
q_002_1,Помощь Мистер Фринли,Помогите Мистер Фринли с важным делом для Гильдия Успеха,GuildOfSuccess,,,0,talk_1_0,Передайте сообщение Мистер Фринли,,TalkToNpc,obj_q_002_1_s0,,npc_002,Мистер Фринли,GuildOfSuccess,1,,,,
q_002_1,Помощь Мистер Фринли,Помогите Мистер Фринли с важным делом для Гильдия Успеха,GuildOfSuccess,,,1,gather_1_1,Соберите Guild Signet Ring (3 шт.),,HaveItem,obj_q_002_1_s1,Guild Signet Ring,npc_002,Мистер Фринли,GuildOfSuccess,3,,,,
q_002_1,Помощь Мистер Фринли,Помогите Мистер Фринли с важным делом для Гильдия Успеха,GuildOfSuccess,,,2,gather_1_2,Раздобудьте Port Access Token (1 шт.),,HaveItem,obj_q_002_1_s2,Port Access Token,npc_002,Мистер Фринли,GuildOfSuccess,1,,,,
q_002_1,Помощь Мистер Фринли,Помогите Мистер Фринли с важным делом для Гильдия Успеха,GuildOfSuccess,,,3,gather_1_3,Соберите Steel Cable 6mm (2 шт.),,HaveItem,obj_q_002_1_s3,Steel Cable 6mm,npc_002,Мистер Фринли,GuildOfSuccess,2,,,,
