# Project C: The Clouds — Resources Database
# Эталонный CSV (sample). Содержит ВСЕ существующие в проекте ресурсы + несколько
# шаблонных строк для демонстрации формата. Source of truth для ItemData, TradeItemDefinition,
# MarketItemConfig, ExchangeRateEntry. .asset файлы ГЕНЕРИРУЮТСЯ из этого CSV.
#
# Редактирование: открыть в Excel, добавить/изменить строки, сохранить как UTF-8 (с BOM).
# Применение: Tools → ProjectC → Resources → CSV Import/Export → Browse → Import.
#
# Schema: см. Resources_Import_Schema.md
# Прецедент: docs/Markets/Resources_import_export/02_DESIGN.md

# block=inventory
itemName,itemType,description,maxStack,weightKg
Антисептик,Medical,Дезинфицирующий раствор. Предотвращает заражение.,10,0.1
Бутыль воды,Food,Чистая питьевая вода. 0.5 литра.,5,0.6
Бинт,Medical,Обычный марлевый бинт. Перевязка ран.,20,0.05
Батарея,Tech,Стандартная электрическая батарея.,20,0.1
Верёвка 10м,Equipment,Прочная верёвка длиной 10 метров. Нужна для восхождений.,5,0.8
Газовый баллон,Fuel,Сжатый газ для нагревателей. Взрывоопасен.,3,2.5
Говно,Resources,Тестовый предмет (заглушка для отладки).,1,0.1
Железная руда,Resources,Обычная железная руда. Добывается в шахтах.,20,2.0
Кабель,Tech,Электрический кабель 1м. Универсальный.,20,0.05
Карабин,Equipment,Металлический карабин для страховки.,10,0.1
Кислородный баллон,Fuel,Баллон с кислородом для дыхания на высоте.,5,4.0
Консервы,Food,Мясные консервы. Долго хранятся.,10,0.5
Кристалл Времён,Resources,Пульсирующий фиолетовый кристалл. Редкий ресурс.,1,0.1
Кристаллическая пыль,Resources,Мерцающие кристаллы. Редкий ресурс.,10,0.5
Древесина,Resources,Обычная древесина. Строительный материал.,50,1.0
Медная руда,Resources,Красноватая медная руда. Используется в проводке.,20,1.5
Мезий,Meziy,Заготовка для крафта мезий-кристалла.,1,0.1
Мезий-кристалл,Meziy,Целый кристалл мезия. Источник энергии.,5,0.3
