asset_path,line,category,evidence
"Assets/CloudGenerator/CloudGenerator_v7.0/CloudGenerator_v7.0/Editor/CloudGeneratorWindow.cs",14,"spatial-member","private Vector2 scrollPos;"
"Assets/CloudGenerator/CloudGenerator_v7.0/CloudGenerator_v7.0/Editor/CloudGeneratorWindow.cs",44,"position-access","transform.position = Vector3.zero;"
"Assets/CloudGenerator/CloudGenerator_v7.0/CloudGenerator_v7.0/Editor/CloudGeneratorWindow.cs",52,"position-access","transform.position = new Vector3(s.X, s.Y, s.Z);"
"Assets/Graphy - Ultimate Stats Monitor/Runtime/Advanced/G_AdvancedData.cs",63,"spatial-member","private Vector2 m_origPosition = Vector2.zero;"
"Assets/Graphy - Ultimate Stats Monitor/Runtime/Audio/G_AudioManager.cs",42,"spatial-member","private Vector2 m_origPosition = Vector2.zero;"
"Assets/Graphy - Ultimate Stats Monitor/Runtime/Fps/G_FpsManager.cs",45,"spatial-member","private Vector2 m_origPosition = Vector2.zero;"
"Assets/Graphy - Ultimate Stats Monitor/Runtime/GraphyManager.cs",130,"spatial-member","private Vector2 m_graphModuleOffset = new Vector2( 0, 0 );"
"Assets/Graphy - Ultimate Stats Monitor/Runtime/GraphyManager.cs",185,"spatial-member","private Vector2 m_advancedModuleOffset = new Vector2( 0, 0 );"
"Assets/Graphy - Ultimate Stats Monitor/Runtime/GraphyManager.cs",783,"lifecycle-placement","DontDestroyOnLoad( transform.root.gameObject );"
"Assets/Graphy - Ultimate Stats Monitor/Runtime/Ram/G_RamManager.cs",40,"spatial-member","private Vector2 m_origPosition = Vector2.zero;"
"Assets/Graphy - Ultimate Stats Monitor/Runtime/UI/G_SafeArea.cs",78,"position-access","r.position;"
"Assets/Graphy - Ultimate Stats Monitor/Runtime/UI/G_SafeArea.cs",79,"position-access","r.position + r.size;"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",78,"spatial-member","private Vector3 backgroundLightDir = new Vector3(0f, -0.1f, 1f);"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",89,"spatial-member","private Vector3 normalScale = Vector3.one;"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",90,"spatial-member","private Vector3 pressedScale = Vector3.one * 0.85f;"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",173,"position-access","baseT.position = new Vector3(character.position.x, 0, character.position.z);"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",187,"position-access","character.position = new Vector3(0, character.position.y, 0);"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",403,"position-access","character.position = Vector3.zero;"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",971,"position-access","character.position;"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",972,"position-access","currentLeftFoot.position : center;"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",973,"position-access","currentRightFoot.position : center;"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",975,"position-access","shadowT.position = new Vector3(center.x, shadowFloorY, center.z);"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",987,"position-access","character.position.y);"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",315,"lifecycle-placement","Instantiate(characterUIPrefab, charactersUIRoot);"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",537,"lifecycle-placement","Instantiate(folderButtonPrefab, animationsUIRoot);"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",574,"lifecycle-placement","Instantiate(folderButtonPrefab, animationsUIRoot);"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",613,"lifecycle-placement","Instantiate(animationUIPrefab, animationsUIRoot);"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Script/HumanBasicMotionsDemo.cs",741,"lifecycle-placement","Instantiate(animationUIPrefab, animationsUIRoot);"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Shaders/HumanBasicMotionsScene.shader",55,"shader-position-candidate","worldPos : TEXCOORD1;"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Shaders/HumanBasicMotionsScene.shader",64,"shader-position-candidate","worldPos = mul(unity_ObjectToWorld, v.vertex).xyz;"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Basic Motions/Shaders/HumanBasicMotionsScene.shader",92,"shader-position-candidate","_WorldSpaceCameraPos - i.worldPos);"
"Assets/Kevin Iglesias/Human Animations/Unity Demo Scenes/Human Melee Animations/Shaders/HumanMeleeAnimationsScene.shader",55,"shader-position-candidate","worldPos : TEXCOORD1;"
