scene_path,object_path,active_self,components,network_transform,mesh_local_max_abs
"Assets/_Project/Scenes/BootstrapScene.unity","Inventory[1]/[InventoryWheel][0]",true,"UnityEngine.Transform;UnityEngine.UIElements.UIDocument;ProjectC.UI.Client.InventoryUI","",
"Assets/_Project/Scenes/BootstrapScene.unity","Inventory[1]/[InventoryServer][1]",true,"UnityEngine.Transform;Unity.Netcode.NetworkObject;ProjectC.Items.Network.InventoryServer","",
"Assets/_Project/Scenes/BootstrapScene.unity","Inventory[1]/[ShipKeyServer][2]",true,"UnityEngine.Transform;Unity.Netcode.NetworkObject;MISSING_SCRIPT","",
"Assets/_Project/Scenes/BootstrapScene.unity","[CharacterWindow][2]",true,"UnityEngine.Transform;UnityEngine.UIElements.UIDocument;ProjectC.UI.Client.CharacterWindow","",
"Assets/_Project/Scenes/BootstrapScene.unity","NetworkManager[3]",true,"UnityEngine.Transform;Unity.Netcode.NetworkManager;Unity.Netcode.Transports.UTP.UnityTransport;ProjectC.Core.NetworkManagerController;ProjectC.Localization.LocalizationBootstrap","",
"Assets/_Project/Scenes/BootstrapScene.unity","Markets[4]/[MarketServer][0]",true,"UnityEngine.Transform;Unity.Netcode.NetworkObject;ProjectC.Trade.Network.MarketServer;ProjectC.Trade.Network.MarketTimeService","",
"Assets/_Project/Scenes/BootstrapScene.unity","Markets[4]/[MarketClientState][1]",true,"UnityEngine.Transform;ProjectC.Trade.Client.MarketClientState","",
"Assets/_Project/Scenes/BootstrapScene.unity","Markets[4]/[MarketWindow][2]",true,"UnityEngine.Transform;UnityEngine.UIElements.UIDocument;ProjectC.Trade.Client.MarketWindow","",
"Assets/_Project/Scenes/BootstrapScene.unity","Contracts[5]/[ContractServer][0]",true,"UnityEngine.Transform;Unity.Netcode.NetworkObject;ProjectC.Trade.Network.ContractServer","",
"Assets/_Project/Scenes/BootstrapScene.unity","Clouds[6]/LocalDensityBuffer[0]",true,"UnityEngine.Transform;ProjectC.World.Clouds.LocalDensityBuffer","",
"Assets/_Project/Scenes/BootstrapScene.unity","Clouds[6]/StormDirector[1]",true,"UnityEngine.Transform;ProjectC.World.Clouds.StormCellDirector;ProjectC.World.Clouds.StormLightningVfx;UnityEngine.VFX.VisualEffect;UnityEngine.VFX.VFXRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ScenePlacedObjectSpawner[7]",true,"UnityEngine.Transform;ProjectC.World.Scene.ScenePlacedObjectSpawner","",
"Assets/_Project/Scenes/BootstrapScene.unity","PlayerSpawner[8]",false,"UnityEngine.Transform;Unity.Netcode.NetworkObject;Unity.Netcode.Components.NetworkTransform;ProjectC.Player.NetworkPlayer;UnityEngine.CharacterController;ProjectC.Player.PlayerInputReader;ProjectC.Player.CharacterEquipmentVisualApplier;ProjectC.Player.CharacterCustomisationApplier;ProjectC.Player.PlayerRespawnTracker;ProjectC.Rendering.EdgeDetectionTarget;ProjectC.Network.NetworkPlayerSpawner","authority=Owner;local=False;interpolate=True;half=False",
"Assets/_Project/Scenes/BootstrapScene.unity","PlayerSpawner[8]/Visual_Model[0]/Body[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Scenes/BootstrapScene.unity","Runtime[9]",true,"UnityEngine.Transform;ProjectC.World.Scene.ClientSceneLoader","",
"Assets/_Project/Scenes/BootstrapScene.unity","MainCamera[10]",true,"UnityEngine.Transform;UnityEngine.Camera;UnityEngine.AudioListener;UnityEngine.Rendering.Universal.UniversalAdditionalCameraData","",
"Assets/_Project/Scenes/BootstrapScene.unity","AltitudeCorridorSystem[11]",true,"UnityEngine.Transform;ProjectC.Ship.AltitudeCorridorSystem","",
"Assets/_Project/Scenes/BootstrapScene.unity","WindManager[13]",true,"UnityEngine.Transform;ProjectC.Core.WindManager","",
"Assets/_Project/Scenes/BootstrapScene.unity","CloudManager[14]",false,"UnityEngine.Transform;ProjectC.Core.CloudManager;ProjectC.World.Clouds.VeilRaymarchMeshController;Unity.Netcode.NetworkObject","",
"Assets/_Project/Scenes/BootstrapScene.unity","CloudManager[14]/NearCloudRenderer_Upper[0]",true,"UnityEngine.Transform;ProjectC.Core.NearCloudRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","CloudManager[14]/NearCloudRenderer_Middle[1]",true,"UnityEngine.Transform;ProjectC.Core.NearCloudRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","CloudManager[14]/NearCloudRenderer_Lower[2]",true,"UnityEngine.Transform;ProjectC.Core.NearCloudRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","CloudManager[14]/DistantCloudManager[3]",true,"UnityEngine.Transform;ProjectC.Core.DistantCloudManager","",
"Assets/_Project/Scenes/BootstrapScene.unity","CloudManager[14]/AdditionalVeilManager[4]",true,"UnityEngine.Transform;ProjectC.World.Clouds.AdditionalVeilModule","",
"Assets/_Project/Scenes/BootstrapScene.unity","CloudManager[14]/StormCloudGenerator[5]",true,"UnityEngine.Transform;ProjectC.Core.StormCloudGenerator;ProjectC.Core.ServerStormManager","",
"Assets/_Project/Scenes/BootstrapScene.unity","ServerWeatherController[16]",true,"UnityEngine.Transform;Unity.Netcode.NetworkObject;ProjectC.Core.ServerWeatherController","",
"Assets/_Project/Scenes/BootstrapScene.unity","DayNightController[17]",true,"UnityEngine.Transform;ProjectC.Core.DayNightController;UnityEngine.Rendering.Volume;ProjectC.Core.AdditionalLightIntensityController","",
"Assets/_Project/Scenes/BootstrapScene.unity","Moon[18]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.MeshRenderer;UnityEngine.SphereCollider;ProjectC.Core.MoonController;UnityEngine.Light;UnityEngine.Rendering.Universal.UniversalAdditionalLightData","",0.5
"Assets/_Project/Scenes/BootstrapScene.unity","TestObjects[19]/TestCube_Visible[0]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.BoxCollider;UnityEngine.MeshRenderer","",0.5
"Assets/_Project/Scenes/BootstrapScene.unity","TestObjects[19]/TestSphere_Visible[1]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.SphereCollider;UnityEngine.MeshRenderer","",0.5
"Assets/_Project/Scenes/BootstrapScene.unity","TestObjects[19]/TestSphere_RootLevel[2]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.SphereCollider;UnityEngine.MeshRenderer","",0.5
"Assets/_Project/Scenes/BootstrapScene.unity","TestObjects[19]/TestSphere_PlayerPos[3]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.SphereCollider;UnityEngine.MeshRenderer","",0.5
