asset_path,object_path,active_self,components,network_transform,mesh_local_max_abs
"Assets/_Project/Prefabs/AI/Npc_Goblin 2.prefab","Npc_Goblin 2[0]",true,"UnityEngine.Transform;Unity.Netcode.NetworkObject;UnityEngine.CharacterController;UnityEngine.AI.NavMeshAgent;ProjectC.Combat.NpcAttacker;ProjectC.Combat.NpcTarget;ProjectC.AI.NpcBrain;Unity.Netcode.Components.NetworkTransform","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/AI/Npc_Goblin 2.prefab","Npc_Goblin 2[0]/Visual[0]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/AI/Npc_Goblin.prefab","Npc_Goblin[0]",true,"UnityEngine.Transform;Unity.Netcode.NetworkObject;UnityEngine.CharacterController;UnityEngine.AI.NavMeshAgent;ProjectC.Combat.NpcAttacker;ProjectC.Combat.NpcTarget;ProjectC.AI.NpcBrain;Unity.Netcode.Components.NetworkTransform","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/AI/Npc_Goblin.prefab","Npc_Goblin[0]/Visual[0]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/AI/Npc_peacfull_market_zone.prefab","Npc_peacfull_market_zone[0]",true,"UnityEngine.Transform;Unity.Netcode.NetworkObject;UnityEngine.CharacterController;UnityEngine.AI.NavMeshAgent;ProjectC.Combat.NpcAttacker;ProjectC.Combat.NpcTarget;ProjectC.AI.NpcBrain;Unity.Netcode.Components.NetworkTransform","authority=Server;local=False;interpolate=True;half=False",
"Assets/_Project/Prefabs/AI/Npc_peacfull_market_zone.prefab","Npc_peacfull_market_zone[0]/Visual[0]/HumanM_Model[0]/HumanM_BodyMesh[0]",true,"UnityEngine.Transform;UnityEngine.SkinnedMeshRenderer","",1.8182574510574341
"Assets/_Project/Prefabs/Box_cargo.prefab","Box_cargo[0]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.MeshRenderer;UnityEngine.BoxCollider","",0.5
"Assets/_Project/Prefabs/CloudSystem.prefab","CloudSystem[0]",true,"UnityEngine.Transform;ProjectC.Core.CloudSystem","",
"Assets/_Project/Prefabs/ControlHintsUI.prefab","ControlHintsUI[0]",true,"UnityEngine.RectTransform;UnityEngine.CanvasRenderer;TMPro.TextMeshProUGUI;MISSING_SCRIPT","",
"Assets/_Project/Prefabs/Cylinder.prefab","Cylinder[0]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.MeshRenderer","",1
"Assets/_Project/Prefabs/MainCamera.prefab","MainCamera[0]",true,"UnityEngine.Transform;UnityEngine.Camera;UnityEngine.AudioListener;MISSING_SCRIPT;ProjectC.World.Streaming.FloatingOriginMP;UnityEngine.Rendering.Universal.UniversalAdditionalCameraData","",
"Assets/_Project/Prefabs/NEWCHESTPREFAB.prefab","NEWCHESTPREFAB[0]",true,"UnityEngine.Transform;Unity.Netcode.NetworkObject;ProjectC.World.Chest.NetworkChestContainer","",
